Designator,Mid X,Mid Y,Rotation,Layer
IC1,151.3675,-89.975,270.0,top
J1,145.7,-90.43,180.0,top
J2,156.0,-90.33,0.0,top
R1,148.1,-90.0,270.0,top
R2,148.1,-93.2,270.0,top
R3,151.2,-93.0,180.0,top
